OTTid,Order,Family,Species_genus,LOG5-1 AdultBodyMass kg,LitterSize,LOG.LitterSize,Source
178244,Carnivora,Procyonidae,Bassaricyon_gabbii,0.09691,1,0,PanTHERIA - Jones et al. 2009
685103,Carnivora,Procyonidae,Bassariscus_astutus,0.00448,3,0.48,PanTHERIA - Jones et al. 2009
794088,Carnivora,Procyonidae,Bassariscus_sumichrasti,-0.04287,2,0.3,PanTHERIA - Jones et al. 2009
670220,Carnivora,Herpestidae,Bdeogale_crassicauda,0.23607,0.96,-0.02,PanTHERIA - Jones et al. 2009
670218,Carnivora,Herpestidae,Bdeogale_nigripes,0.41880,1,0,PanTHERIA - Jones et al. 2009
1033549,Carnivora,Felidae,Caracal_caracal,1.07789,2.3,0.36,PanTHERIA - Jones et al. 2009
763025,Carnivora,Felidae,Catopuma_temminckii,0.88798,1.5,0.18,PanTHERIA - Jones et al. 2009
837601,Carnivora,Canidae,Chrysocyon_brachyurus,1.36782,2,0.3,PanTHERIA - Jones et al. 2009
768511,Carnivora,Viverridae,Civettictis_civetta,1.08191,2.31,0.36,PanTHERIA - Jones et al. 2009
231610,Carnivora,Mephitidae,Conepatus_leuconotus,0.51771,3.6,0.56,PanTHERIA - Jones et al. 2009
397157,Carnivora,Hyaenidae,Crocuta_crocuta,1.80188,1.91,0.28,PanTHERIA - Jones et al. 2009
858557,Carnivora,Herpestidae,Crossarchus_alexandri,0.17707,4,0.6,PanTHERIA - Jones et al. 2009
1088410,Carnivora,Herpestidae,Crossarchus_obscurus,0.14460,4.29,0.63,PanTHERIA - Jones et al. 2009
313163,Carnivora,Canidae,Cuon_alpinus,1.19866,4.3,0.63,PanTHERIA - Jones et al. 2009
363578,Carnivora,Herpestidae,Cynictis_penicillata,-0.15838,2.15,0.33,PanTHERIA - Jones et al. 2009
126631,Carnivora,Viverridae,Cynogale_bennettii,0.62804,2.3,0.36,PanTHERIA - Jones et al. 2009
132779,Carnivora,Phocidae,Cystophora_cristata,2.44544,1,0,PanTHERIA - Jones et al. 2009
3613299,Carnivora,Herpestidae,Dologale_dybowskii,-0.44139,4,0.6,PanTHERIA - Jones et al. 2009
